"namespace","namespace:Term","Term","Definition","Context","Comment",
"bdq","bdq:Alien-Species","Alien-Species","Research uses for occurrence data of alien species where 1) the information elements concern what organism occurred where and when and the means, degree, and pathways of establishment, and 2) that are used for analysis of spatial and/or temporal patterns of biodiversity (see examples in Groom et al. (2019). Improving Darwin Core for research and management of alien species. https://doi.org/10.3897/biss.3.38084).","bdqffdq:UseCase",,
"bdq","bdq:AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","A list of Amendments that have been run on a Single Record forming the input to another test.","bdqffdq:InformationElement","Used in Measure of Single Record Tests",
"bdq","bdq:AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","A list of Core Validation Tests that have been run on a Single Record forming the input to another test.","bdqffdq:InformationElement","Used in Measure of Single Record Tests",
"bdq","bdq:Ambiguous","Ambiguous","Used to report where bdq:Conformance is not satisfied due to bdqffdq:InformationElements not being unambiguously resolvable by a bdq:sourceAuthority.","bdqffdq:DataQualityDimension",,
"bdq","bdq:AMENDED","AMENDED","A bdq:Response.status used to indicate that a bdq:Response.result from a bdqffdq:Amendment contains a proposed change.","bdq:Response.status",,
"bdq","bdq:annotationAlertIf","annotationAlertIf","Optionally establishes if an annotation exists within a bdq:annotationSystem by describing the criteria for relating annotations in the system to records in a bdq:ParameterizedTest.","bdq:Parameter","Used in test ""ANNOTATION_ISSUE_NOTEMPTY"" (fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1).",
"bdq","bdq:annotationSystem","annotationSystem","Optionally established a system for annotations within a bdq:ParameterizedTest with the default being the w3c Annotations Data Model's ""oa:Annotation""","bdq:Parameter","Used in test ""ANNOTATION_ISSUE_NOTEMPTY"" (fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1).",
"bdq","bdq:assumptionOnUnknownBiome","assumptionOnUnknownBiome","Used when a bdq:taxonomyIsMarine source authority is unable to assert the marine or non-marine status of a taxon, the biome (marine/nonmarine) to assume instead or noassumption.","bdq:Parameter","See VALIDATION_COORDINATES_TERRESTRIALMARINE (b9c184ce-a859-410c-9d12-71a338200380).",
"bdq","bdq:Biotic-Relationships","Biotic-Relationships","Research uses for relationships between organisms where 1) the information elements concern what organisms have a relationship and 2) that are used for analysis of the relationship of one organism to another (see examples in ​​Poelen JH, Simons JD, Mungall CJ. (2014). Global Biotic Interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics, 24, 148–159. https://doi.org/10.1016/j.ecoinf.2014.08.005)","bdqffdq:UseCase",,
"bdq","bdq:COMPLETE","COMPLETE","A bdq:Response.result of a bdqffdq:Measure which asserts that data are present and sufficiently comprehensive for use.","bdq:Response.result",,
"bdq","bdq:Completeness","Completeness","The extent to which data are present and sufficiently comprehensive for use.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).",
"bdq","bdq:COMPLIANT","COMPLIANT","A bdq:Response.result of a bdqffdq:Validation where the data conforms to the test specification.","bdq:Response.result",,
"bdq","bdq:Conformance","Conformance","Conforms to a format, syntax, data type, range, or standard of the bdqffdq:InformationElement.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).",
"bdq","bdq:Consistency","Consistency","Agreement among related bdqffdq:InformationElements that are present in the data. Note that missing bdqffdq:InformationElements do not make a test bdq:Inconsistent.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).",
"bdq","bdq:defaultGeodeticDatum","defaultGeodeticDatum","Optionally established the default datum in a bdq:ParameterizedTest. A default datum is supplied in cases where a bdq:Parameter is not set at the time the test is run.","bdq:Parameter","See test AMENDMENT_GEODETICDATUM_ASSUMEDDEFAULT (7498ca76-c4d4-42e2-8103-acacccbdffa7).",
"bdq","bdq:DefaultSourceAuthority","DefaultSourceAuthority","A default where a required bdq:Parameter or a bdq:sourceAuthority (_q.v._) has not been provided.","bdq:Parameter",,
"bdq","bdq:defaultValue","defaultValue","A preselected value (e.g. year, elevation) where a required bdq:Parameter value has not been provided.","bdq:Parameter",,
"bdq","bdq:earliestValidDate","earliestValidDate","Optionally establishes the earliest date in a bdq:ParameterizedTest. A default date is supplied in cases where a bdq:Parameter is not set at the time the test is run.","bdq:Parameter",,
"bdq","bdq:Empty","Empty","An evaluation of an value, that in the context of the evaluation,  returns true if the value does not contain any characters or values other than those in the range U+0000 to U+0020, and otherwise returns false. ","Data","In BDQ Core, bdq:Empty is used to evaluate bdqffdq:InformationElements within a test specification, it therefore means empty if the data set being evaluated does not contain the term matching the information element, or if the data set contains that term but the value for that term is empty.   This is to allow the application programing interface expressed by  the test bdq:CriterionInContext to be agnostic about the strucuture presented to a framework for executing the tests.  The term bdq:Empty is defined to be more generaly usable.  Note: A bdqffdq:InformationElement containing invalid characters (e.g. letters in an information element that would be expected to contain integers) or values (including string serializations of the NULL value) are NOT_EMPTY and may be separately detected.",
"bdq","bdq:Examples","Examples","Provide one pass (i.e. COMPLIANT) example and one fail (NON_COMPLIANT) example for each test.","bdq:Parameter",,
"bdq","bdq:EXTERNAL_PREREQUISITES_NOT_MET","EXTERNAL_PREREQUISITES_NOT_MET","A bdq;Response.status used to indicate that a bdq:Response.result was not generated because a bdq:sourceAuthority was not available or was off-line. If the test is run at a later time, it may produce a different result. ","bdq:Response.status",,
"bdq","bdq:FILLED_IN","FILLED_IN","A bdq:Response.status used to indicate that a bdqffdq:Amendment contains a proposed change to a record in the bdq:Response.result where the bdqffdq:InformationElement was bdq:EMPTY.","bdq:Response.status",,
"bdq","bdq:geospatialLand","geospatialLand","Polygons derived from a union of Natural Earth vectors for Land and for Minor Islands at 1:10,000,000 resolution.","bdq:Parameter","See VALIDATION_COORDINATES_TERRESTRIALMARINE (b9c184ce-a859-410c-9d12-71a338200380)",
